timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709650577849,192,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-5,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,192,0,150
1709650577951,194,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,194,0,150
1709650578049,195,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,195,0,152
1709650578149,216,Create,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,479,768,3,3,https://testslotegrator.com/api/automationTask/create,216,0,168
1709650578252,198,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,412,597,3,2,https://testslotegrator.com/api/automationTask/getOne,194,0,152
1709650578349,226,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-10,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,226,0,181
1709650578490,189,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,189,0,147
1709650578548,370,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,126659,536,4,4,https://testslotegrator.com/api/automationTask/getAll,290,0,153
1709650578651,408,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-10,text,true,,126659,536,5,5,https://testslotegrator.com/api/automationTask/getAll,319,0,178
1709650578750,393,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,126659,536,4,4,https://testslotegrator.com/api/automationTask/getAll,309,0,160
1709650578949,218,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,412,597,4,4,https://testslotegrator.com/api/automationTask/getOne,218,0,176
1709650578848,389,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-5,text,true,,126659,536,3,3,https://testslotegrator.com/api/automationTask/getAll,310,0,150
1709650579049,218,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-8,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,218,0,156
1709650579149,194,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,194,0,151
1709650579249,192,Create,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,479,768,2,2,https://testslotegrator.com/api/automationTask/create,192,0,145
1709650579349,206,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,412,597,3,3,https://testslotegrator.com/api/automationTask/getOne,206,0,163
1709650579452,191,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,191,0,147
1709650579551,192,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-10,text,true,,412,597,2,2,https://testslotegrator.com/api/automationTask/getOne,192,0,145
1709650579648,395,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-1,text,true,,126807,536,4,4,https://testslotegrator.com/api/automationTask/getAll,293,0,153
1709650579849,236,GetOne,201,Created,bzm - Arrivals Thread Group-ThreadStarter 1-10,text,true,,412,597,4,4,https://testslotegrator.com/api/automationTask/getOne,236,0,186
1709650579749,416,GetAll,200,OK,bzm - Arrivals Thread Group-ThreadStarter 1-6,text,true,,126807,536,4,4,https://testslotegrator.com/api/automationTask/getAll,334,0,184
